SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,10,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,10,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,10,SBAC,ELA,,245.0,245.0,171.0,69.8%,0.1061224489795,0.1755102040816,0.3510204081632,0.3469387755102,0.7125,0.0204081632653,0.9795918367346
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),10,SBAC,Math,,191.0,191.0,27.0,14.1%,0.544502617801,0.2670157068062,0.1151832460732,0.0261780104712,0.1483516483516,0.0471204188481,0.9528795811518
2017-18,Walla Walla Public Schools,Race,White,10,SBAC,Math,,265.0,265.0,115.0,43.4%,0.3169811320754,0.2075471698113,0.2339622641509,0.2,0.4527559055118,0.0415094339622,0.9584905660377
2017-18,Walla Walla Public Schools,Military,Non Military Parent,All Grades,AIM,ELA,,28.0,28.0,16.0,57.1%,0.1785714285714,0.25,0.4642857142857,0.1071428571428,0.5714285714285,0.0,1.0
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),All Grades,AIM,ELA,,12.0,12.0,7.0,58.3%,0.1666666666666,0.25,0.5,0.0833333333333,0.5833333333333,0.0,1.0
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,All Grades,SBAC,ELA,,1251.0,1251.0,882.0,70.5%,0.1095123900879,0.1670663469224,0.3541167066346,0.3509192645883,0.7182410423452,0.0183852917665,0.9816147082334
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,,1243.0,1243.0,414.0,33.3%,0.3676588897827,0.2896218825422,0.2469831053901,0.0860820595333,0.3363119415109,0.0096540627514,0.9903459372485
2017-18,Walla Walla Public Schools,Race,White,All Grades,SBAC,ELA,,1576.0,1576.0,995.0,63.1%,0.1706852791878,0.1802030456852,0.3432741116751,0.2880710659898,0.6427648578811,0.0177664974619,0.982233502538
2017-18,Walla Walla Public Schools,Race,White,All Grades,SBAC,Math,,1576.0,1576.0,792.0,50.3%,0.2252538071065,0.2531725888324,0.2506345177664,0.2519035532994,0.5122897800776,0.0190355329949,0.980964467005
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,All Grades,SBAC,Math,,432.0,432.0,32.0,7.4%,0.7569444444444,0.1226851851851,0.0486111111111,0.0254629629629,0.0776699029126,0.0462962962962,0.9537037037037
2017-18,Walla Walla Public Schools,All,All Students,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,Math,,262.0,262.0,67.0,25.6%,0.5229007633587,0.2099236641221,0.1832061068702,0.0725190839694,0.2586872586872,0.0114503816793,0.9885496183206
2017-18,Walla Walla Public Schools,Military,Non Military Parent,04,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,04,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Military,Military Parent,04,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,Black/ African American,04,SBAC,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,05,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Male,05,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,homeless,Homeless,05,SBAC,ELA,N<10,,,,N<10,,,,,,,
