SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentParticipation
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,03,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,All,All Students,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,White,03,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,87.0,0.6436781609195,0.2643678160919,0.0804597701149,0.0114942528735,1.0
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,428.0,0.3317757009345,0.2546728971962,0.2242990654205,0.179906542056,0.9906542056074
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,166.0,0.1144578313253,0.2048192771084,0.3493975903614,0.3132530120481,0.9819277108433
2017-18,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,ELA,262.0,0.4694656488549,0.2862595419847,0.1450381679389,0.0954198473282,0.9961832061068
2017-18,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,,0.322891566265,0.2554216867469,0.2265060240963,0.1855421686746,0.9903614457831
2017-18,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,03,SBAC,ELA,,,,,,
2017-18,Walla Walla Public Schools,Race,TwoorMoreRaces,03,SBAC,ELA,,0.2222222222222,0.1111111111111,0.3333333333333,0.3333333333333,1.0
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,SBAC,ELA,178.0,0.4943820224719,0.2977528089887,0.1404494382022,0.067415730337,1.0
2017-18,Walla Walla Public Schools,s504,Section 504,03,SBAC,ELA,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,03,SBAC,ELA,,0.3317422434367,0.252983293556,0.2243436754176,0.18138424821,0.9904534606205
2017-18,Walla Walla Public Schools,SWD,Students without Disabilities,03,SBAC,ELA,350.0,0.2685714285714,0.2657142857142,0.2542857142857,0.2114285714285,1.0
2017-18,Walla Walla Public Schools,All,All Students,03,SBAC,Math,428.0,0.3831775700934,0.2009345794392,0.2383177570093,0.1635514018691,0.9859813084112
2017-18,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,Math,87.0,0.7126436781609,0.1724137931034,0.0804597701149,0.0229885057471,0.9885057471264
2017-18,Walla Walla Public Schools,Military,Non Military Parent,04,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,Math,428.0,0.3831775700934,0.2009345794392,0.2383177570093,0.1635514018691,0.9859813084112
2017-18,Walla Walla Public Schools,Gender,Male,03,SBAC,Math,194.0,0.3298969072164,0.201030927835,0.221649484536,0.221649484536,0.9742268041237
2017-18,Walla Walla Public Schools,Gender,Female,03,SBAC,Math,234.0,0.4273504273504,0.2008547008547,0.2521367521367,0.1153846153846,0.9957264957264
2017-18,Walla Walla Public Schools,homeless,Homeless,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Military,Military Parent,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Military,Non Military Parent,03,SBAC,Math,,0.3890214797136,0.1957040572792,0.2410501193317,0.1599045346062,0.9856801909307
2017-18,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,Asian,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,Black/ African American,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,TwoorMoreRaces,03,SBAC,Math,,0.1666666666666,0.1666666666666,0.3333333333333,0.2777777777777,0.9444444444444
2017-18,Walla Walla Public Schools,Race,White,03,SBAC,Math,224.0,0.2544642857142,0.2053571428571,0.2901785714285,0.2321428571428,0.9821428571428
2017-18,Walla Walla Public Schools,s504,Section 504,03,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,03,SBAC,Math,,0.3818615751789,0.2028639618138,0.2410501193317,0.162291169451,0.9880668257756
2017-18,Walla Walla Public Schools,All,All Students,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,04,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,04,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,White,04,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,04,SBAC,ELA,80.0,0.6,0.3125,0.075,0.0125,1.0
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,04,SBAC,ELA,427.0,0.3044496487119,0.175644028103,0.2365339578454,0.2786885245901,0.9953161592505
2017-18,Walla Walla Public Schools,FRL,Low-Income,04,SBAC,ELA,256.0,0.41796875,0.2265625,0.2109375,0.14453125,1.0
2017-18,Walla Walla Public Schools,Gender,Male,04,SBAC,ELA,217.0,0.3963133640552,0.1612903225806,0.221198156682,0.2165898617511,0.9953917050691
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,04,SBAC,ELA,,0.2961165048543,0.1723300970873,0.2378640776699,0.2888349514563,0.9951456310679
2017-18,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,04,SBAC,ELA,,,,,,
2017-18,Walla Walla Public Schools,Race,Asian,04,SBAC,ELA,,,,,,
2017-18,Walla Walla Public Schools,Race,TwoorMoreRaces,04,SBAC,ELA,,0.3333333333333,0.2222222222222,0.1111111111111,0.3333333333333,1.0
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,SBAC,ELA,187.0,0.4064171122994,0.2513368983957,0.2085561497326,0.1283422459893,0.9946524064171
2017-18,Walla Walla Public Schools,Race,White,04,SBAC,ELA,217.0,0.2119815668202,0.110599078341,0.2672811059907,0.405529953917,0.9953917050691
2017-18,Walla Walla Public Schools,s504,Section 504,04,SBAC,ELA,20.0,0.3,0.2,0.45,0.05,1.0
2017-18,Walla Walla Public Schools,SWD,Students without Disabilities,04,SBAC,ELA,360.0,0.2111111111111,0.2,0.2583333333333,0.3277777777777,0.9972222222222
2017-18,Walla Walla Public Schools,All,All Students,04,SBAC,Math,427.0,0.2576112412177,0.3489461358313,0.2388758782201,0.1498829039812,0.9953161592505
2017-18,Walla Walla Public Schools,ELL,English Language Learners,04,SBAC,Math,80.0,0.4875,0.4375,0.0625,0.0125,1.0
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,04,SBAC,Math,171.0,0.1052631578947,0.251461988304,0.3508771929824,0.2807017543859,0.9883040935672
2017-18,Walla Walla Public Schools,FRL,Low-Income,04,SBAC,Math,256.0,0.359375,0.4140625,0.1640625,0.0625,1.0
2017-18,Walla Walla Public Schools,Gender,Female,04,SBAC,Math,210.0,0.2095238095238,0.395238095238,0.2619047619047,0.1285714285714,0.995238095238
2017-18,Walla Walla Public Schools,Gender,Male,04,SBAC,Math,217.0,0.3041474654377,0.3041474654377,0.2165898617511,0.1705069124423,0.9953917050691
2017-18,Walla Walla Public Schools,homeless,Homeless,04,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,04,SBAC,Math,,0.2451456310679,0.3495145631067,0.2451456310679,0.1553398058252,0.9951456310679
2017-18,Walla Walla Public Schools,Migrant,Migrant,04,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Military,Military Parent,04,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,Asian,04,SBAC,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,TwoorMoreRaces,04,SBAC,Math,,0.2222222222222,0.2222222222222,0.3888888888888,0.1666666666666,1.0
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,SBAC,Math,187.0,0.379679144385,0.3903743315508,0.1657754010695,0.0588235294117,0.9946524064171
2017-18,Walla Walla Public Schools,s504,Section 504,04,SBAC,Math,20.0,0.2,0.5,0.3,0.0,1.0
2017-18,Walla Walla Public Schools,s504,Non Section 504,04,SBAC,Math,407.0,0.2604422604422,0.3415233415233,0.2358722358722,0.1572481572481,0.9950859950859
2017-18,Walla Walla Public Schools,SWD,Students without Disabilities,04,SBAC,Math,360.0,0.1805555555555,0.375,0.275,0.1666666666666,0.9972222222222
2017-18,Walla Walla Public Schools,All,All Students,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Gender,Male,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,Military,Non Military Parent,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,05,AIM,ELA,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,05,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,FRL,Low-Income,05,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Military,Non Military Parent,05,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),05,AIM,Math,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,05,AIM,Math,,,,,,
