SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentNoScore,PercentParticipation
2021-22,Walla Walla Public Schools,Gender,Female,08,SBAC,Math,212.0,0.4858490566037,0.2452830188679,0.127358490566,0.1132075471698,0.0283018867924,0.9716981132075
2021-22,Walla Walla Public Schools,homeless,Homeless,08,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,08,SBAC,Math,,0.4619164619164,0.2506142506142,0.1105651105651,0.1277641277641,0.04914004914,0.9508599508599
2021-22,Walla Walla Public Schools,Migrant,Migrant,08,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,08,SBAC,Math,,0.4658536585365,0.2487804878048,0.1073170731707,0.1268292682926,0.0512195121951,0.9487804878048
2021-22,Walla Walla Public Schools,Military,Military Parent,08,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,08,SBAC,Math,,0.4733009708737,0.2451456310679,0.1067961165048,0.1237864077669,0.0509708737864,0.9490291262135
2021-22,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,08,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,08,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,08,SBAC,Math,,0.3157894736842,0.2631578947368,0.1578947368421,0.1578947368421,0.1052631578947,0.8947368421052
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),08,SBAC,Math,173.0,0.6184971098265,0.2543352601156,0.057803468208,0.0404624277456,0.028901734104,0.9710982658959
2021-22,Walla Walla Public Schools,Race,White,08,SBAC,Math,216.0,0.3703703703703,0.2407407407407,0.1388888888888,0.1851851851851,0.0648148148148,0.9351851851851
2021-22,Walla Walla Public Schools,s504,Section 504,08,SBAC,Math,26.0,0.576923076923,0.1538461538461,0.1153846153846,0.1153846153846,0.0384615384615,0.9615384615384
2021-22,Walla Walla Public Schools,s504,Non Section 504,08,SBAC,Math,390.0,0.4641025641025,0.251282051282,0.1076923076923,0.125641025641,0.051282051282,0.9487179487179
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,08,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students without Disabilities,08,SBAC,Math,,0.4309392265193,0.2651933701657,0.1243093922651,0.1381215469613,0.0414364640883,0.9585635359116
2021-22,Walla Walla Public Schools,All,All Students,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,s504,Non Section 504,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,10,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,10,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,10,SBAC,ELA,453.0,0.1523178807947,0.1964679911699,0.3156732891832,0.2494481236203,0.0860927152317,0.9139072847682
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,10,SBAC,ELA,424.0,0.125,0.1981132075471,0.3254716981132,0.2665094339622,0.0849056603773,0.9150943396226
2021-22,Walla Walla Public Schools,Foster,Foster Care,10,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,10,SBAC,ELA,,0.1514476614699,0.195991091314,0.316258351893,0.2516703786191,0.0846325167037,0.9153674832962
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,10,SBAC,ELA,206.0,0.0679611650485,0.1601941747572,0.3009708737864,0.4223300970873,0.0485436893203,0.9514563106796
2021-22,Walla Walla Public Schools,FRL,Low-Income,10,SBAC,ELA,247.0,0.2226720647773,0.2267206477732,0.327935222672,0.1052631578947,0.1174089068825,0.8825910931174
2021-22,Walla Walla Public Schools,Gender,Gender X,10,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,10,SBAC,ELA,,0.1089108910891,0.1683168316831,0.3217821782178,0.2970297029702,0.1039603960396,0.8960396039603
2021-22,Walla Walla Public Schools,Gender,Male,10,SBAC,ELA,250.0,0.184,0.22,0.312,0.212,0.072,0.928
2021-22,Walla Walla Public Schools,homeless,Homeless,10,SBAC,ELA,17.0,0.5294117647058,0.1764705882352,0.235294117647,0.0,0.0588235294117,0.9411764705882
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,10,SBAC,ELA,436.0,0.137614678899,0.197247706422,0.3188073394495,0.2591743119266,0.0871559633027,0.9128440366972
2021-22,Walla Walla Public Schools,Migrant,Migrant,10,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,10,SBAC,ELA,,0.1492204899777,0.195991091314,0.3184855233853,0.2516703786191,0.0846325167037,0.9153674832962
2021-22,Walla Walla Public Schools,Military,Military Parent,10,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,10,SBAC,ELA,,0.1568181818181,0.1977272727272,0.315909090909,0.240909090909,0.0886363636363,0.9113636363636
2021-22,Walla Walla Public Schools,Race,Black/ African American,10,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,10,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,s504,Section 504,10,SBAC,ELA,35.0,0.0571428571428,0.2571428571428,0.2285714285714,0.3714285714285,0.0857142857142,0.9142857142857
2021-22,Walla Walla Public Schools,s504,Non Section 504,10,SBAC,ELA,418.0,0.1602870813397,0.1913875598086,0.322966507177,0.2392344497607,0.0861244019138,0.9138755980861
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,10,SBAC,ELA,57.0,0.5964912280701,0.1228070175438,0.1403508771929,0.0,0.1403508771929,0.859649122807
2021-22,Walla Walla Public Schools,SWD,Students without Disabilities,10,SBAC,ELA,396.0,0.0883838383838,0.2070707070707,0.340909090909,0.2853535353535,0.0782828282828,0.9217171717171
2021-22,Walla Walla Public Schools,All,All Students,10,SBAC,Math,453.0,0.4282560706401,0.2163355408388,0.1501103752759,0.1147902869757,0.0905077262693,0.9094922737306
2021-22,Walla Walla Public Schools,ELL,English Language Learners,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,10,SBAC,Math,,0.3938679245283,0.2311320754716,0.1603773584905,0.1226415094339,0.0919811320754,0.9080188679245
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,10,SBAC,Math,,0.4276169265033,0.2160356347438,0.1492204899777,0.1158129175946,0.0913140311804,0.9086859688195
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,10,SBAC,Math,205.0,0.2585365853658,0.2634146341463,0.2097560975609,0.2,0.0682926829268,0.9317073170731
2021-22,Walla Walla Public Schools,FRL,Low-Income,10,SBAC,Math,248.0,0.5685483870967,0.1774193548387,0.1008064516129,0.0443548387096,0.1088709677419,0.891129032258
2021-22,Walla Walla Public Schools,Gender,Gender X,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,10,SBAC,Math,,0.412935323383,0.2238805970149,0.1592039800995,0.0995024875621,0.1044776119402,0.8955223880597
2021-22,Walla Walla Public Schools,Gender,Male,10,SBAC,Math,251.0,0.4382470119521,0.211155378486,0.1434262948207,0.1274900398406,0.0796812749003,0.9203187250996
2021-22,Walla Walla Public Schools,homeless,Homeless,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,10,SBAC,Math,,0.4174311926605,0.2201834862385,0.1536697247706,0.1169724770642,0.091743119266,0.9082568807339
2021-22,Walla Walla Public Schools,Migrant,Migrant,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,10,SBAC,Math,,0.4276169265033,0.218262806236,0.1514476614699,0.1158129175946,0.0868596881959,0.913140311804
2021-22,Walla Walla Public Schools,Military,Military Parent,10,SBAC,Math,13.0,0.3846153846153,0.1538461538461,0.1538461538461,0.3076923076923,0.0,1.0
2021-22,Walla Walla Public Schools,Military,Non Military Parent,10,SBAC,Math,440.0,0.4295454545454,0.2181818181818,0.15,0.1090909090909,0.0931818181818,0.9068181818181
2021-22,Walla Walla Public Schools,Race,Black/ African American,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,10,SBAC,Math,20.0,0.4,0.3,0.1,0.15,0.05,0.95
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),10,SBAC,Math,185.0,0.5945945945945,0.2108108108108,0.0648648648648,0.0432432432432,0.0864864864864,0.9135135135135
2021-22,Walla Walla Public Schools,Race,White,10,SBAC,Math,237.0,0.3080168776371,0.2151898734177,0.2194092827004,0.1603375527426,0.0970464135021,0.9029535864978
2021-22,Walla Walla Public Schools,s504,Section 504,10,SBAC,Math,35.0,0.3428571428571,0.1714285714285,0.2285714285714,0.1428571428571,0.1142857142857,0.8857142857142
2021-22,Walla Walla Public Schools,s504,Non Section 504,10,SBAC,Math,418.0,0.4354066985645,0.2200956937799,0.1435406698564,0.1124401913875,0.0885167464114,0.9114832535885
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,10,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,All Grades,AIM,ELA,35.0,0.2571428571428,0.5428571428571,0.2,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,ELL,English Language Learners,All Grades,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,All Grades,AIM,ELA,,0.3461538461538,0.4615384615384,0.1923076923076,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,All Grades,AIM,ELA,,0.2571428571428,0.5428571428571,0.2,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,All Grades,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,All Grades,AIM,ELA,,0.2413793103448,0.551724137931,0.2068965517241,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Gender,Female,All Grades,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,All Grades,AIM,ELA,,0.2916666666666,0.5,0.2083333333333,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,homeless,Homeless,All Grades,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,All Grades,AIM,ELA,,0.2727272727272,0.5151515151515,0.2121212121212,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,All Grades,AIM,ELA,35.0,0.2571428571428,0.5428571428571,0.2,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Military,Non Military Parent,All Grades,AIM,ELA,35.0,0.2571428571428,0.5428571428571,0.2,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,All Grades,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,All Grades,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),All Grades,AIM,ELA,18.0,0.2777777777777,0.5,0.2222222222222,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,s504,Non Section 504,All Grades,AIM,ELA,35.0,0.2571428571428,0.5428571428571,0.2,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,All Grades,AIM,ELA,35.0,0.2571428571428,0.5428571428571,0.2,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,All,All Students,All Grades,AIM,Math,35.0,0.1142857142857,0.4,0.4285714285714,0.0571428571428,0.0,1.0
2021-22,Walla Walla Public Schools,ELL,English Language Learners,All Grades,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,All Grades,AIM,Math,35.0,0.1142857142857,0.4,0.4285714285714,0.0571428571428,0.0,1.0
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,All Grades,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,All Grades,AIM,Math,,0.103448275862,0.3793103448275,0.4482758620689,0.0689655172413,0.0,1.0
2021-22,Walla Walla Public Schools,Gender,Female,All Grades,AIM,Math,11.0,0.090909090909,0.3636363636363,0.5454545454545,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Gender,Male,All Grades,AIM,Math,24.0,0.125,0.4166666666666,0.375,0.0833333333333,0.0,1.0
2021-22,Walla Walla Public Schools,homeless,Homeless,All Grades,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,All Grades,AIM,Math,,0.1212121212121,0.3636363636363,0.4545454545454,0.060606060606,0.0,1.0
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,All Grades,AIM,Math,35.0,0.1142857142857,0.4,0.4285714285714,0.0571428571428,0.0,1.0
2021-22,Walla Walla Public Schools,Military,Non Military Parent,All Grades,AIM,Math,35.0,0.1142857142857,0.4,0.4285714285714,0.0571428571428,0.0,1.0
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,All Grades,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,All Grades,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,All Grades,AIM,Math,,0.0666666666666,0.4666666666666,0.4666666666666,0.0,0.0,1.0
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),All Grades,AIM,Math,18.0,0.1111111111111,0.3888888888888,0.3888888888888,0.1111111111111,0.0,1.0
2021-22,Walla Walla Public Schools,s504,Non Section 504,All Grades,AIM,Math,35.0,0.1142857142857,0.4,0.4285714285714,0.0571428571428,0.0,1.0
2021-22,Walla Walla Public Schools,All,All Students,All Grades,SBAC,ELA,2801.0,0.3156015708675,0.2199214566226,0.2406283470189,0.1842199214566,0.0396287040342,0.9603712959657
2021-22,Walla Walla Public Schools,ELL,English Language Learners,All Grades,SBAC,ELA,366.0,0.7322404371584,0.1693989071038,0.051912568306,0.0109289617486,0.035519125683,0.9644808743169
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,All Grades,SBAC,ELA,2435.0,0.252977412731,0.2275154004106,0.2689938398357,0.2102669404517,0.0402464065708,0.9597535934291
2021-22,Walla Walla Public Schools,Foster,Foster Care,All Grades,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,All Grades,SBAC,ELA,1116.0,0.1326164874551,0.189964157706,0.2956989247311,0.3512544802867,0.0304659498207,0.9695340501792
2021-22,Walla Walla Public Schools,Gender,Gender X,All Grades,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,All Grades,SBAC,ELA,,0.2819576333089,0.2249817384952,0.244704163623,0.2125639152666,0.035792549306,0.9642074506939
2021-22,Walla Walla Public Schools,Gender,Male,All Grades,SBAC,ELA,1428.0,0.3480392156862,0.2156862745098,0.2359943977591,0.156862745098,0.0434173669467,0.9565826330532
2021-22,Walla Walla Public Schools,homeless,Homeless,All Grades,SBAC,ELA,86.0,0.5581395348837,0.2093023255813,0.1511627906976,0.0348837209302,0.0465116279069,0.953488372093
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,All Grades,SBAC,ELA,2715.0,0.3079189686924,0.2202578268876,0.2434622467771,0.188950276243,0.0394106813996,0.9605893186003
2021-22,Walla Walla Public Schools,Migrant,Migrant,All Grades,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Military,Military Parent,All Grades,SBAC,ELA,51.0,0.235294117647,0.156862745098,0.3529411764705,0.2549019607843,0.0,1.0
2021-22,Walla Walla Public Schools,Military,Non Military Parent,All Grades,SBAC,ELA,2750.0,0.3170909090909,0.2210909090909,0.2385454545454,0.182909090909,0.0403636363636,0.9596363636363
2021-22,Walla Walla Public Schools,Race,Black/ African American,All Grades,SBAC,ELA,,0.4347826086956,0.2608695652173,0.1739130434782,0.0869565217391,0.0434782608695,0.9565217391304
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,1180.0,0.4347457627118,0.2389830508474,0.2161016949152,0.0745762711864,0.0355932203389,0.964406779661
2021-22,Walla Walla Public Schools,Race,White,All Grades,SBAC,ELA,1439.0,0.219596942321,0.2098679638637,0.266851980542,0.2592077831827,0.0444753300903,0.9555246699096
2021-22,Walla Walla Public Schools,s504,Section 504,All Grades,SBAC,ELA,134.0,0.2910447761194,0.2089552238805,0.2014925373134,0.2462686567164,0.0522388059701,0.9477611940298
2021-22,Walla Walla Public Schools,s504,Non Section 504,All Grades,SBAC,ELA,2667.0,0.3168353955755,0.2204724409448,0.2425946756655,0.1811023622047,0.0389951256092,0.9610048743907
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,All Grades,SBAC,ELA,446.0,0.6434977578475,0.1591928251121,0.0874439461883,0.0336322869955,0.0762331838565,0.9237668161434
2021-22,Walla Walla Public Schools,All,All Students,All Grades,SBAC,Math,2802.0,0.4036402569593,0.2401855817273,0.1663097787294,0.1498929336188,0.039971448965,0.9600285510349
2021-22,Walla Walla Public Schools,ELL,English Language Learners,All Grades,SBAC,Math,366.0,0.7240437158469,0.1721311475409,0.0628415300546,0.0081967213114,0.0327868852459,0.967213114754
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,All Grades,SBAC,Math,2436.0,0.355500821018,0.2504105090311,0.181855500821,0.1711822660098,0.0410509031198,0.9589490968801
2021-22,Walla Walla Public Schools,Foster,Foster Care,All Grades,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,All Grades,SBAC,Math,,0.402658045977,0.2395833333333,0.1666666666666,0.1508620689655,0.0402298850574,0.9597701149425
2021-22,Walla Walla Public Schools,FRL,Low-Income,All Grades,SBAC,Math,1687.0,0.537640782454,0.2430349733254,0.1203319502074,0.0563129816241,0.0426793123888,0.9573206876111
2021-22,Walla Walla Public Schools,Gender,Gender X,All Grades,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,All Grades,SBAC,Math,,0.4210526315789,0.2463450292397,0.1593567251461,0.1374269005847,0.0358187134502,0.9641812865497
2021-22,Walla Walla Public Schools,Gender,Male,All Grades,SBAC,Math,1430.0,0.3874125874125,0.2328671328671,0.1734265734265,0.1622377622377,0.0440559440559,0.955944055944
2021-22,Walla Walla Public Schools,homeless,Homeless,All Grades,SBAC,Math,86.0,0.6395348837209,0.1860465116279,0.0581395348837,0.0465116279069,0.0697674418604,0.9302325581395
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,All Grades,SBAC,Math,2716.0,0.3961708394698,0.2418998527245,0.1697349042709,0.1531664212076,0.0390279823269,0.960972017673
2021-22,Walla Walla Public Schools,Migrant,Migrant,All Grades,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,All Grades,SBAC,Math,,0.4000721500721,0.2420634920634,0.1670274170274,0.1515151515151,0.0393217893217,0.9606782106782
2021-22,Walla Walla Public Schools,Military,Military Parent,All Grades,SBAC,Math,51.0,0.3529411764705,0.1764705882352,0.235294117647,0.235294117647,0.0,1.0
2021-22,Walla Walla Public Schools,Military,Non Military Parent,All Grades,SBAC,Math,2751.0,0.4045801526717,0.2413667757179,0.1650308978553,0.1483097055616,0.0407124681933,0.9592875318066
2021-22,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,All Grades,SBAC,Math,10.0,0.4,0.1,0.3,0.1,0.1,0.9
2021-22,Walla Walla Public Schools,Race,Black/ African American,All Grades,SBAC,Math,24.0,0.5,0.2916666666666,0.125,0.0416666666666,0.0416666666666,0.9583333333333
2021-22,Walla Walla Public Schools,Race,Asian,All Grades,SBAC,Math,32.0,0.15625,0.125,0.25,0.46875,0.0,1.0
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,All Grades,SBAC,Math,117.0,0.3589743589743,0.2307692307692,0.2222222222222,0.1538461538461,0.034188034188,0.9658119658119
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,1180.0,0.5372881355932,0.2627118644067,0.107627118644,0.0601694915254,0.0322033898305,0.9677966101694
2021-22,Walla Walla Public Schools,Race,White,All Grades,SBAC,Math,1439.0,0.3015983321751,0.2251563585823,0.2077831827658,0.2182070882557,0.0472550382209,0.952744961779
2021-22,Walla Walla Public Schools,s504,Section 504,All Grades,SBAC,Math,134.0,0.3880597014925,0.2686567164179,0.1567164179104,0.1268656716417,0.0597014925373,0.9402985074626
2021-22,Walla Walla Public Schools,s504,Non Section 504,All Grades,SBAC,Math,2668.0,0.4044227886056,0.2387556221889,0.1667916041979,0.1510494752623,0.0389805097451,0.9610194902548
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,All Grades,SBAC,Math,446.0,0.7286995515695,0.1076233183856,0.0426008968609,0.0426008968609,0.0784753363228,0.9215246636771
2021-22,Walla Walla Public Schools,SWD,Students without Disabilities,All Grades,SBAC,Math,2356.0,0.3421052631578,0.2652801358234,0.1897283531409,0.1702037351443,0.0326825127334,0.9673174872665
2021-22,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,154.0,0.1428571428571,0.2792207792207,0.1948051948051,0.3636363636363,0.0194805194805,0.9805194805194
2021-22,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Homeless,03,SBAC,Math,,0.4,0.2,0.3,0.1,0.0,1.0
2021-22,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,03,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,SBAC,Math,173.0,0.4508670520231,0.2601156069364,0.2023121387283,0.0693641618497,0.0173410404624,0.9826589595375
2021-22,Walla Walla Public Schools,Race,White,03,SBAC,Math,203.0,0.231527093596,0.167487684729,0.2857142857142,0.2610837438423,0.0541871921182,0.9458128078817
2021-22,Walla Walla Public Schools,SWD,Students without Disabilities,03,SBAC,Math,342.0,0.2719298245614,0.2251461988304,0.2894736842105,0.1871345029239,0.0263157894736,0.9736842105263
2021-22,Walla Walla Public Schools,s504,Non Section 504,04,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,04,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,04,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,04,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,04,SBAC,ELA,241.0,0.5394190871369,0.1950207468879,0.1784232365145,0.0705394190871,0.0165975103734,0.9834024896265
2021-22,Walla Walla Public Schools,SWD,Students without Disabilities,04,SBAC,ELA,310.0,0.3451612903225,0.2096774193548,0.2096774193548,0.2258064516129,0.0096774193548,0.9903225806451
2021-22,Walla Walla Public Schools,Foster,Foster Care,04,SBAC,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,04,SBAC,Math,132.0,0.1439393939393,0.2121212121212,0.2575757575757,0.3787878787878,0.0075757575757,0.9924242424242
2021-22,Walla Walla Public Schools,s504,Non Section 504,04,SBAC,Math,363.0,0.3471074380165,0.2782369146005,0.2011019283746,0.159779614325,0.0137741046831,0.9862258953168
2021-22,Walla Walla Public Schools,s504,Non Section 504,05,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,05,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,05,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,05,SBAC,ELA,143.0,0.1538461538461,0.1888111888111,0.2657342657342,0.3916083916083,0.0,1.0
2021-22,Walla Walla Public Schools,homeless,Homeless,05,SBAC,ELA,14.0,0.3571428571428,0.3571428571428,0.2142857142857,0.0714285714285,0.0,1.0
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,05,SBAC,Math,143.0,0.1748251748251,0.2377622377622,0.1748251748251,0.4055944055944,0.006993006993,0.9930069930069
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,06,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,06,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,06,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,06,AIM,Math,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Non-Low Income,06,SBAC,ELA,136.0,0.1764705882352,0.1838235294117,0.2647058823529,0.3308823529411,0.0441176470588,0.9558823529411
2021-22,Walla Walla Public Schools,Gender,Male,06,SBAC,ELA,204.0,0.4558823529411,0.1911764705882,0.1862745098039,0.142156862745,0.0245098039215,0.9754901960784
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),06,SBAC,ELA,150.0,0.54,0.2266666666666,0.1666666666666,0.04,0.0266666666666,0.9733333333333
2021-22,Walla Walla Public Schools,s504,Non Section 504,06,SBAC,ELA,355.0,0.4112676056338,0.2140845070422,0.194366197183,0.1492957746478,0.0309859154929,0.969014084507
2021-22,Walla Walla Public Schools,SWD,Students without Disabilities,06,SBAC,ELA,312.0,0.3493589743589,0.2275641025641,0.2179487179487,0.1826923076923,0.0224358974358,0.9775641025641
2021-22,Walla Walla Public Schools,FRL,Low-Income,06,SBAC,Math,239.0,0.6108786610878,0.2468619246861,0.0836820083682,0.0376569037656,0.020920502092,0.9790794979079
2021-22,Walla Walla Public Schools,FRL,Low-Income,07,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,07,AIM,ELA,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,07,AIM,Math,,,,,,,
