SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2022-23,Walla Walla Public Schools,FRL,Low-Income,04,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Gender,Female,04,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Gender,Male,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,All,All Students,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,ELA,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,FRL,Non-Low Income,03,AIM,Math,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,Math,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,N<10,,,,N<10,,,,,,,
2022-23,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,,381.0,381.0,159.0,41.7%,0.3753280839895,0.1863517060367,0.1968503937007,0.2204724409448,0.426273458445,0.020997375328,0.9790026246719
2022-23,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,,88.0,88.0,14.0,15.9%,0.6590909090909,0.1818181818181,0.1590909090909,0.0,0.1590909090909,0.0,1.0
2022-23,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,ELA,,293.0,293.0,145.0,49.5%,0.2901023890784,0.1877133105802,0.2081911262798,0.2866894197952,0.5087719298245,0.0273037542662,0.9726962457337
2022-23,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,Cross Student Group - N<10,,,,42.2%,0.3687002652519,0.1883289124668,0.1989389920424,0.2228116710875,0.430894308943,0.0212201591511,0.9787798408488
2022-23,Walla Walla Public Schools,Gender,Female,03,SBAC,ELA,,187.0,187.0,92.0,49.2%,0.3048128342245,0.1818181818181,0.2192513368983,0.2727272727272,0.5027322404371,0.0213903743315,0.9786096256684
2022-23,Walla Walla Public Schools,Gender,Male,03,SBAC,ELA,,194.0,194.0,67.0,34.5%,0.4432989690721,0.1907216494845,0.1752577319587,0.1701030927835,0.3526315789473,0.020618556701,0.9793814432989
2022-23,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,<21%,,,,<21%,,,,,,,
2022-23,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,Cross Student Group - Top/Bottom,,,,42.8%,0.3678474114441,0.1825613079019,0.1989100817438,0.2288828337874,0.4373259052924,0.0217983651226,0.9782016348773
2022-23,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,ELA,N<10,,,,N<10,,,,,,,
