SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentParticipation
2018-19,Walla Walla Public Schools,All,All Students,03,AIM,ELA,,,,,,
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,ELA,,,,,,
2018-19,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,,,,,,
2018-19,Walla Walla Public Schools,Race,White,03,AIM,ELA,,,,,,
2018-19,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,,,,,,
2018-19,Walla Walla Public Schools,All,All Students,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Foster,Foster Care,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Gender,Female,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Race,White,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,76.0,0.578947368421,0.2894736842105,0.0921052631578,0.0263157894736,0.9868421052631
2018-19,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,,0.3396226415094,0.2722371967654,0.1671159029649,0.2129380053908,0.9919137466307
2018-19,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,137.0,0.1240875912408,0.2189781021897,0.2335766423357,0.4160583941605,0.992700729927
2018-19,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,ELA,239.0,0.4686192468619,0.3054393305439,0.1255230125523,0.092050209205,0.9916317991631
2018-19,Walla Walla Public Schools,Gender,Female,03,SBAC,ELA,171.0,0.298245614035,0.3157894736842,0.1637426900584,0.2222222222222,1.0
2018-19,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,,,,,,
2018-19,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,,0.3342618384401,0.2729805013927,0.16713091922,0.217270194986,0.9916434540389
2018-19,Walla Walla Public Schools,Migrant,Non Migrant,03,SBAC,ELA,,0.3413978494623,0.271505376344,0.1666666666666,0.2123655913978,0.9919354838709
2018-19,Walla Walla Public Schools,Race,Asian,03,SBAC,ELA,,,,,,
2018-19,Walla Walla Public Schools,Race,White,03,SBAC,ELA,198.0,0.2424242424242,0.2373737373737,0.1767676767676,0.3333333333333,0.9898989898989
2018-19,Walla Walla Public Schools,s504,Section 504,03,SBAC,ELA,,,,,,
2018-19,Walla Walla Public Schools,SWD,Students with Disabilities,03,SBAC,ELA,74.0,0.6891891891891,0.2027027027027,0.081081081081,0.0135135135135,0.9864864864864
2018-19,Walla Walla Public Schools,All,All Students,03,SBAC,Math,376.0,0.345744680851,0.2074468085106,0.2553191489361,0.1808510638297,0.9893617021276
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,Math,76.0,0.5263157894736,0.2631578947368,0.1447368421052,0.0526315789473,0.9868421052631
2018-19,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,Math,300.0,0.3,0.1933333333333,0.2833333333333,0.2133333333333,0.99
2018-19,Walla Walla Public Schools,Foster,Foster Care,03,SBAC,Math,,,,,,
2018-19,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,Math,,0.3369272237196,0.210242587601,0.2587601078167,0.1832884097035,0.9892183288409
2018-19,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,Math,137.0,0.1094890510948,0.1678832116788,0.3649635036496,0.3430656934306,0.985401459854
2018-19,Walla Walla Public Schools,Gender,Female,03,SBAC,Math,171.0,0.3625730994152,0.2222222222222,0.251461988304,0.1637426900584,1.0
2018-19,Walla Walla Public Schools,ELL,Non-English Language Learners,04,AIM,Math,,,,,,
2018-19,Walla Walla Public Schools,Gender,Male,03,SBAC,Math,205.0,0.3317073170731,0.1951219512195,0.2585365853658,0.1951219512195,0.980487804878
