SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2021-22,Walla Walla Public Schools,All,All Students,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Female,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Gender,Male,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,TwoorMoreRaces,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,Asian,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,Race,White,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,Math,N<10,,,,N<10,,,,,,,
2021-22,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,,401.0,401.0,138.0,34.4%,0.3566084788029,0.2693266832917,0.1720698254364,0.1720698254364,0.3547557840616,0.0299251870324,0.9700748129675
