SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2018-19,Walla Walla Public Schools,All,All Students,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Race,White,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,All,All Students,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Foster,Foster Care,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Gender,Female,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Race,White,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,N<10,,,,N<10,,,,,,,
2018-19,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,,76.0,76.0,9.0,11.8%,0.578947368421,0.2894736842105,0.0921052631578,0.0263157894736,0.12,0.0131578947368,0.9868421052631
2018-19,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,Cross Student Group - N<10,,,,38.0%,0.3396226415094,0.2722371967654,0.1671159029649,0.2129380053908,0.383152173913,0.0080862533692,0.9919137466307
2018-19,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,,137.0,137.0,89.0,65.0%,0.1240875912408,0.2189781021897,0.2335766423357,0.4160583941605,0.6544117647058,0.0072992700729,0.992700729927
