SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentParticipation
2016-17,Walla Walla Public Schools,All,All Students,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,Race,White,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,ELA,,,,,,
2016-17,Walla Walla Public Schools,All,All Students,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,Gender,Female,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,Military,Non Military Parent,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,Race,White,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,Math,,,,,,
2016-17,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,415.0,0.356626506024,0.2168674698795,0.1831325301204,0.233734939759,0.9903614457832
2016-17,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,84.0,0.7142857142857,0.2142857142857,0.0714285714285,0.0,1.0
2016-17,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,ELA,331.0,0.2658610271903,0.2175226586102,0.2114803625377,0.2930513595166,0.987915407855
2016-17,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,415.0,0.356626506024,0.2168674698795,0.1831325301204,0.233734939759,0.9903614457832
2016-17,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,166.0,0.1265060240963,0.1867469879518,0.1987951807228,0.4698795180722,0.9819277108434
2016-17,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,ELA,249.0,0.5100401606425,0.2369477911646,0.1726907630522,0.0763052208835,0.995983935743
2016-17,Walla Walla Public Schools,Gender,Female,03,SBAC,ELA,203.0,0.3004926108374,0.2118226600985,0.231527093596,0.2512315270935,0.9950738916257
2016-17,Walla Walla Public Schools,Gender,Male,03,SBAC,ELA,212.0,0.4103773584905,0.2216981132075,0.1367924528301,0.2169811320754,0.9858490566038
2016-17,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,11.0,0.5454545454545,0.2727272727272,0.1818181818181,0.0,1.0
2016-17,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,404.0,0.3514851485148,0.2153465346534,0.1831683168316,0.2400990099009,0.990099009901
2016-17,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,ELA,,,,,,
