SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentParticipation
2015-16,Walla Walla Public Schools,All,All Students,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,FRL,Low-Income,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Gender,Female,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Gender,Male,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Military,Unknown,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Race,White,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,s504,Non Section 504,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,All,All Students,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,ELL,Non-English Language Learners,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,FRL,Low-Income,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Gender,Female,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Gender,Male,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Migrant,Non Migrant,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Military,Unknown,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,Race,White,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,s504,Non Section 504,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,Math,,,,,,
2015-16,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,392.0,0.2959183673469,0.2448979591836,0.2117346938775,0.2295918367346,0.9821428571429
2015-16,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,ELA,88.0,0.5568181818181,0.3295454545454,0.1022727272727,0.0113636363636,1.0
2015-16,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,ELA,304.0,0.2203947368421,0.2203947368421,0.2434210526315,0.2927631578947,0.9769736842106
2015-16,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,ELA,392.0,0.2959183673469,0.2448979591836,0.2117346938775,0.2295918367346,0.9821428571429
2015-16,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,ELA,149.0,0.1140939597315,0.1677852348993,0.234899328859,0.4429530201342,0.9597315436242
2015-16,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,ELA,243.0,0.4074074074074,0.2921810699588,0.1975308641975,0.0987654320987,0.9958847736626
2015-16,Walla Walla Public Schools,Gender,Male,03,SBAC,ELA,196.0,0.3520408163265,0.234693877551,0.2244897959183,0.1734693877551,0.9846938775511
2015-16,Walla Walla Public Schools,Gender,Female,03,SBAC,ELA,196.0,0.2397959183673,0.2551020408163,0.1989795918367,0.2857142857142,0.9795918367347
2015-16,Walla Walla Public Schools,homeless,Homeless,03,SBAC,ELA,16.0,0.5,0.125,0.3125,0.0625,1.0
2015-16,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,ELA,376.0,0.2872340425531,0.25,0.2074468085106,0.2367021276595,0.9813829787235
2015-16,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,ELA,,,,,,
2015-16,Walla Walla Public Schools,Migrant,Non Migrant,03,SBAC,ELA,,0.2819843342036,0.2506527415143,0.2140992167101,0.2349869451697,0.981723237598
2015-16,Walla Walla Public Schools,Military,Unknown,03,SBAC,ELA,392.0,0.2959183673469,0.2448979591836,0.2117346938775,0.2295918367346,0.9821428571429
2015-16,Walla Walla Public Schools,Race,Black/ African American,03,SBAC,ELA,,,,,,
2015-16,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,03,SBAC,ELA,,,,,,
2015-16,Walla Walla Public Schools,Race,Asian,03,SBAC,ELA,,,,,,
2015-16,Walla Walla Public Schools,Race,TwoorMoreRaces,03,SBAC,ELA,,,,,,
2015-16,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,SBAC,ELA,171.0,0.4269005847953,0.2923976608187,0.2105263157894,0.0526315789473,0.9824561403509
2015-16,Walla Walla Public Schools,Race,White,03,SBAC,ELA,206.0,0.1844660194174,0.2135922330097,0.2087378640776,0.3737864077669,0.9805825242719
2015-16,Walla Walla Public Schools,s504,Section 504,03,SBAC,ELA,,,,,,
2015-16,Walla Walla Public Schools,s504,Non Section 504,03,SBAC,ELA,,0.2942708333333,0.25,0.2109375,0.2265625,0.9817708333334
2015-16,Walla Walla Public Schools,SWD,Students with Disabilities,03,SBAC,ELA,61.0,0.7213114754098,0.1311475409836,0.0327868852459,0.0819672131147,0.9672131147541
2015-16,Walla Walla Public Schools,SWD,Students without Disabilities,03,SBAC,ELA,331.0,0.2175226586102,0.2658610271903,0.2447129909365,0.2567975830815,0.9848942598188
2015-16,Walla Walla Public Schools,All,All Students,03,SBAC,Math,392.0,0.2602040816326,0.2474489795918,0.3061224489795,0.1683673469387,0.9821428571429
2015-16,Walla Walla Public Schools,ELL,English Language Learners,03,SBAC,Math,88.0,0.5227272727272,0.3181818181818,0.125,0.0340909090909,1.0
2015-16,Walla Walla Public Schools,ELL,Non-English Language Learners,03,SBAC,Math,304.0,0.1842105263157,0.2269736842105,0.3585526315789,0.2072368421052,0.9769736842106
2015-16,Walla Walla Public Schools,Foster,Non-Foster Care,03,SBAC,Math,392.0,0.2602040816326,0.2474489795918,0.3061224489795,0.1683673469387,0.9821428571429
2015-16,Walla Walla Public Schools,FRL,Non-Low Income,03,SBAC,Math,149.0,0.0872483221476,0.1543624161073,0.3892617449664,0.3288590604026,0.9597315436242
2015-16,Walla Walla Public Schools,FRL,Low-Income,03,SBAC,Math,243.0,0.3662551440329,0.3045267489711,0.2551440329218,0.0699588477366,0.9958847736626
2015-16,Walla Walla Public Schools,Gender,Male,03,SBAC,Math,196.0,0.2704081632653,0.25,0.3061224489795,0.1581632653061,0.9846938775511
2015-16,Walla Walla Public Schools,Gender,Female,03,SBAC,Math,196.0,0.25,0.2448979591836,0.3061224489795,0.1785714285714,0.9795918367347
2015-16,Walla Walla Public Schools,homeless,Homeless,03,SBAC,Math,17.0,0.3529411764705,0.3529411764705,0.2941176470588,0.0,1.0
2015-16,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,Math,375.0,0.256,0.2426666666666,0.3066666666666,0.176,0.9813333333334
2015-16,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,Math,,,,,,
2015-16,Walla Walla Public Schools,Migrant,Non Migrant,03,SBAC,Math,,0.242819843342,0.2532637075718,0.3133159268929,0.1723237597911,0.981723237598
2015-16,Walla Walla Public Schools,Military,Unknown,03,SBAC,Math,392.0,0.2602040816326,0.2474489795918,0.3061224489795,0.1683673469387,0.9821428571429
2015-16,Walla Walla Public Schools,Race,Black/ African American,03,SBAC,Math,,,,,,
2015-16,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,03,SBAC,Math,,,,,,
2015-16,Walla Walla Public Schools,Race,Asian,03,SBAC,Math,,,,,,
2015-16,Walla Walla Public Schools,Race,TwoorMoreRaces,03,SBAC,Math,,,,,,
2015-16,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,SBAC,Math,171.0,0.4035087719298,0.2865497076023,0.2339181286549,0.0584795321637,0.9824561403509
2015-16,Walla Walla Public Schools,Race,White,03,SBAC,Math,206.0,0.1456310679611,0.2281553398058,0.3446601941747,0.26213592233,0.9805825242719
2015-16,Walla Walla Public Schools,s504,Section 504,03,SBAC,Math,,,,,,
2015-16,Walla Walla Public Schools,s504,Non Section 504,03,SBAC,Math,,0.2604166666666,0.25,0.3020833333333,0.1692708333333,0.9817708333334
2015-16,Walla Walla Public Schools,SWD,Students with Disabilities,03,SBAC,Math,61.0,0.639344262295,0.1967213114754,0.0983606557377,0.0327868852459,0.9672131147541
2015-16,Walla Walla Public Schools,SWD,Students without Disabilities,03,SBAC,Math,331.0,0.1903323262839,0.2567975830815,0.3444108761329,0.1933534743202,0.9848942598188
2015-16,Walla Walla Public Schools,All,All Students,04,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,ELL,Non-English Language Learners,04,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,Foster,Non-Foster Care,04,AIM,ELA,,,,,,
2015-16,Walla Walla Public Schools,FRL,Non-Low Income,04,AIM,ELA,,,,,,
